Club,Ball,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Impact Height,Impact Offset,Spin_Loft,V_Loft,Gear_Factor
Driver (10.5 deg),Standard,118.43,1.345,-0.789,-1.927,49.188,-0.738,10.729,0.321,-1.128,176.964,1.494,7.562,-0.858,2473.7498579746884,-8.452442373232982,0.02,3.15,9.383999999999999,1660.6301759999997,0.18767999999999999
Driver (10.5 deg),Tour,119.653,1.721,0.686,-1.585,55.934,2.886,9.498,-1.691,0.915,175.827,1.469,7.884,0.693,2516.6439500272504,5.153158238142282,-6.067,3.313,7.776999999999999,1367.406579,-47.183059
Driver (10.5 deg),Standard,108.762,0.685,-2.558,-1.979,48.733,-1.361,10.854,0.579,-0.061,160.2,1.473,8.483,-2.249,2291.027390338196,0.356176433907451,3.837,-1.538,10.168999999999999,1629.0737999999997,39.018452999999994
Driver (10.5 deg),Standard,85.268,1.764,0.041,-1.742,50.238,3.785,10.932,3.518,-0.809,128.335,1.505,7.59,-1.739,2556.9999784667725,-2.61641323335952,-4.621,-4.633,9.168000000000001,1176.5752800000002,-42.36532800000001
Driver (10.5 deg),Practice,84.43,1.789,0.946,-1.965,50.223,-0.111,10.979,-0.524,-0.565,127.112,1.506,7.983,-1.373,2180.312100876869,-4.882942876978737,2.431,2.692,9.19,1168.1592799999999,22.340889999999998
Driver (10.5 deg),Premium,106.589,2.189,-1.24,-0.013,49.065,-0.67,11.384,0.808,-0.53,155.745,1.461,8.725,-0.822,2201.155311845964,-3.875352928563278,4.83,0.813,9.195,1432.0752750000001,44.41185
Driver (10.5 deg),Practice,75.311,1.403,0.076,-0.497,54.306,-1.04,12.901,1.562,-1.774,108.844,1.445,9.411,-2.151,2675.22973995797,-8.909068819136282,-0.249,0.369,11.498,1251.488312,-2.863002
Driver (10.5 deg),Standard,93.868,0.589,0.632,-2.406,57.091,1.246,9.949,0.341,2.531,139.352,1.485,7.187,1.255,2231.50571629005,14.429627174727363,3.954,1.382,9.36,1304.33472,37.00944
Driver (10.5 deg),Standard,94.953,2.215,-0.438,-0.291,60.532,0.434,9.378,1.449,0.647,141.797,1.493,7.378,-0.011,1976.831532895745,5.9425714185876375,0.618,-1.901,7.163,1015.691911,4.426734
Driver (10.5 deg),Standard,77.49,0.87,2.836,-0.776,50.345,-0.804,10.398,-0.787,-0.485,114.427,1.477,7.753,0.144,2604.194284770879,-2.038221426023998,-2.911,-1.661,9.528,1090.2604560000002,-27.736008
Driver (10.5 deg),Standard,124.001,1.641,-1.816,-2.579,49.522,0.994,10.406,-2.115,-0.02,184.519,1.488,8.111,0.739,2324.1108246265217,2.7358941043860834,-0.057,-5.473,8.765,1617.3090350000002,-0.4996050000000001
Driver (10.5 deg),Premium,79.279,1.232,0.975,-0.737,49.695,-0.461,14.407,1.037,0.887,117.217,1.479,10.941,-0.189,3150.82434215993,5.264696073413422,1.686,-2.768,13.175,1544.333975,22.21305
Driver (10.5 deg),Standard,104.273,3.338,-0.196,-1.417,56.247,0.9,12.45,0.783,-1.659,154.689,1.483,9.264,-0.695,2090.896098848417,-10.705418530535288,4.942,0.78,9.111999999999998,1409.5261679999996,45.03150399999999
Driver (10.5 deg),Standard,112.845,1.257,0.02,-0.533,51.151,-1.324,12.436,0.042,0.051,166.726,1.477,8.655,-1.53,2517.9634008305106,2.6151701224707598,2.684,-4.556,11.179,1863.829954,30.004436000000002
Driver (10.5 deg),Tour,120.702,1.378,1.729,-0.92,45.271,-1.715,11.324,-2.005,1.309,177.958,1.474,7.93,-0.699,2872.1929676585937,6.969964538536786,-2.03,0.963,9.946,1769.970268,-20.190379999999998
Driver (10.5 deg),Premium,83.851,1.303,1.994,-1.079,56.167,-1.904,12.421,1.284,0.172,122.813,1.465,9.186,1.594,2994.7812909603713,1.5580551592585865,-3.084,-0.902,11.117999999999999,1365.4349339999999,-34.287912
Driver (10.5 deg),Premium,119.887,1.182,-1.178,-1.826,52.537,-1.726,12.741,-2.359,-0.213,178.427,1.488,8.927,-0.177,3091.0893897331252,-1.846817664479184,-2.202,1.719,11.559,2062.437693,-25.452917999999997
Driver (10.5 deg),Tour,109.951,0.646,0.637,-0.676,51.705,0.542,9.834,-0.277,-0.071,163.65,1.488,7.629,2.198,2428.5147461000197,-2.543036047311413,0.139,4.212,9.187999999999999,1503.6162,1.277132
Driver (10.5 deg),Practice,90.794,-0.327,-0.159,-0.632,51.387,-0.71,9.386,-2.038,0.452,132.503,1.459,7.551,-2.104,2270.5299561369643,-0.5309335504944845,0.731,5.835,9.713,1287.0016389999998,7.100203
Driver (10.5 deg),Premium,122.799,1.006,-1.194,-0.599,47.56,2.208,11.223,0.835,-0.953,181.772,1.48,8.393,0.371,2858.338304295992,-5.066558042689747,-2.977,-0.347,10.217,1857.164524,-30.416009
Driver (10.5 deg),Practice,105.195,1.82,0.209,-1.577,51.648,-1.97,8.741,-0.765,-0.758,154.514,1.469,6.12,-1.17,1804.8776724635827,-6.275330694791136,0.692,-0.271,6.920999999999999,1069.391394,4.789331999999999
Driver (10.5 deg),Practice,117.327,0.589,-2.143,-1.253,46.647,-0.348,10.788,-0.283,0.942,171.112,1.458,7.636,-1.81,2560.4734616257992,3.301935345651729,-0.964,4.067,10.199,1745.171288,-9.831836
